the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
"MULTILINESTRING ((-77.04345545847795 39.00742449703447, -77.04352722720658 39.00753438400919, -77.04358096068191 39.00764419193357, -77.04359946962808 39.007699098832205, -77.04361357950235 39.00775400736713, -77.04362681000867 39.00780891656379, -77.04364091992576 39.00786382509414, -77.04365415047357 39.00791873428644, -77.04371235838046 39.00815046641758))",9618,325,2ND AVE,325,15,Silver Spring,YES,275.897319156,ROOKWOOD RD,STRATTON RD,275.9,24,AC,69.0815
"MULTILINESTRING ((-77.04371235838046 39.00815046641758, -77.04375072280665 39.00830309541192, -77.0437643930034 39.008358004086126, -77.04377762373818 39.008412913258695, -77.0437908540623 39.008467822093124, -77.04380408483767 39.008522730925264, -77.04381731520279 39.0085776400916, -77.04383054601897 39.00863254891945, -77.04384245710813 39.00868745823971, -77.04385436778499 39.00874236789443, -77.04386583899438 39.00879727737591, -77.0438795086427 39.008850298445594, -77.04391875066916 39.0089988086344))",9519,326,2ND AVE,326,15,Silver Spring,YES,314.513053474,STRATTON RD,SEMINARY RD,314.5,24,AC,76.8981
"MULTILINESTRING ((-77.04392319421126 39.011210806892635, -77.04387090209423 39.011303579695046, -77.04383530819624 39.01136674391661, -77.04379707463862 39.01142990911455, -77.04376323954475 39.01149247225767, -77.0437232469213 39.01155623882023, -77.04362481727604 39.01173774856658))",9012,327,2ND AVE,327,15,Silver Spring,YES,209.849237654,LOCUST GROVE RD,OSBORN DR,209.8,22,AC,74.71
"MULTILINESTRING ((-77.04362481727604 39.01173774856658, -77.0435861487118 39.01180889347694, -77.04354131609475 39.01187206137931, -77.04350836080467 39.01193522451167, -77.04347540588702 39.01199838763371, -77.0434420105434 39.012061550909124, -77.0433936585738 39.01212471972181, -77.04327801843758 39.012220432983575))",8944,328,2ND AVE,328,15,Silver Spring,YES,203.703052488,OSBORN DR,LANSDOWNE WAY,203.7,22,AC,85.36
"MULTILINESTRING ((-77.04409250485776 39.003305541585405, -77.04427863500017 39.00341555682034, -77.04438952174205 39.0034818405665, -77.04445992544098 39.00352308493858, -77.04453032911594 39.00356347136528, -77.04460073238624 39.0036037720264, -77.0446711358437 39.00364424409088, -77.04474153970433 39.00368454466643, -77.04481194342972 39.00372518842765, -77.04488234842485 39.003767719733325, -77.04495275388079 39.00381016527308, -77.0450231589898 39.00385261077024, -77.04512172408664 39.003908430599004))",10051,594,3RD AVE,594,15,Silver Spring,YES,365.751958682,HANOVER ST,LANIER DR,365.8,25,AC,32.7174
"MULTILINESTRING ((-77.04305362106525 39.00269423841351, -77.04319266557394 39.00277544253189, -77.04326306793392 39.00281677368956, -77.04333347070192 39.002857933022085, -77.04340387301599 39.00289892086601, -77.0434742754634 39.00293999439023, -77.04354467842285 39.00298106787159, -77.04361508098015 39.00302205558732, -77.04368548372362 39.00306321470643, -77.04375588729566 39.00310488879314, -77.04382629088866 39.00314716323463, -77.04389669461825 39.00318952369257, -77.04409250485776 39.003305541585405))",10130,595,3RD AVE,595,15,Silver Spring,YES,369.775322623,GRACE CHURCH RD,HANOVER ST,369.8,25,AC,23.4406
"MULTILINESTRING ((-77.04512172408664 39.003908430599004, -77.04523437040137 39.00397231026147, -77.04530477480166 39.00401312550584, -77.04537517976787 39.0040540260942, -77.04544558438431 39.00409492697617, -77.04551598945746 39.00413574175606, -77.0455863942353 39.00417664221641, -77.04565679925929 39.0042178004754, -77.04572720451988 39.00425852940413, -77.04579760948525 39.004299344013326, -77.04586801464195 39.00434033036197, -77.0459384203105 39.00438131666772, -77.04613380444445 39.00450908609629, -77.04614921500668 39.004531989580315, -77.04615671011119 39.00455884280583, -77.04615936046284 39.00457583105445, -77.0461558491235 39.0045878447562))",9991,596,3RD AVE,596,15,Silver Spring,YES,391.608325259,LANIER DR,GLEN ROSS RD,391.6,25,AC,92.3232
"MULTILINESTRING ((-77.04432966566672 39.002012828646805, -77.04469703707198 39.00216147150297))",10204,784,4TH AVE,784,15,Silver Spring,YES,117.602832296,GRACE CHURCH RD,TALBOT AVE,117.6,18,AC,64.8692
"MULTILINESTRING ((-77.04469703707198 39.00216147150297, -77.04533327559196 39.00248847969662))",10187,822,4TH AVE,822,15,Silver Spring,YES,216.509189302,TALBOT AVE,HANOVER ST,216.5,18,AC,27.0315
"MULTILINESTRING ((-76.99110219623381 38.993765166302275, -76.99114748409758 38.993860325519535, -76.99117958114012 38.99393171620965, -76.99120947912108 38.99400310672466, -76.99123937673117 38.994074497230955, -76.99126751552774 38.99414588759722, -76.99128993706697 38.99421727753015, -76.99130840020865 38.99428866716365, -76.99132246511353 38.99436005646701, -76.99133257202692 38.994431445810605, -76.991338720937 38.99450283452309, -76.99134135079899 38.99457422297379, -76.99134046246387 38.99464561116299, -76.99133561609148 38.99471699905802, -76.99132725106915 38.99478838669098, -76.99131448772539 38.99485977399582, -76.99129820613956 38.99493116103653, -76.99128236435244 38.99500254810669, -76.99126608227101 38.995073935140795, -76.99125243958112 38.99514532236898, -76.99124583375583 38.99521671012129, -76.99124538515011 38.995288098333134, -76.99125153361598 38.99535948703747, -76.99126383977008 38.995430876200416, -76.99128318286903 38.99550226588556, -76.99131484052162 38.99557365681756, -76.99135045675557 38.99564504769648, -76.99138695273241 38.99571643862829, -76.9914674253246 38.99583253621889))",11141,2124,10TH AVE,2124,13,Colesville,YES,776.571040231,NAVAHOE DR,OSAGE ST,776.6,24,AC,50.8462
